"Museum","Catalog_Number","Collector_Number","Species","Source","Fixation_days","Storage_years","d13C_Run1","d13C_sd_Run1","d13C_sd_n_Run1","d13C_Run2","d13C_sd_Run2","d13C_sd_n_Run2","d15N_Run1","d15N_sd_Run1","d15N_sd_n_Run1","d15N_Run2","d15N_sd_Run2","d15N_sd_n_Run2"
"UMNH",42480,"EAR10874","Peromyscus maniculatus","Experiment",0,0,-24.88,0.06,11,NA,NA,NA,5.74,0.11,11,NA,NA,NA
"UMNH",42480,"EAR10874","Peromyscus maniculatus","Experiment",1,0,-25.1,0.06,11,NA,NA,NA,5.69,0.11,11,NA,NA,NA
"UMNH",42480,"EAR10874","Peromyscus maniculatus","Experiment",2,0,-25.12,0.06,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UMNH",42480,"EAR10874","Peromyscus maniculatus","Experiment",14,0,-25.15,0.03,11,NA,NA,NA,5.59,0.07,11,NA,NA,NA
"UMNH",42481,"EAR10875","Peromyscus maniculatus","Experiment",0,0,-21.65,0.06,11,-21.79,0.03,14,12.92,0.11,11,12.93,0.07,15
"UMNH",42481,"EAR10875","Peromyscus maniculatus","Experiment",1,0,-22.15,0.06,11,-21.44,0.03,14,NA,NA,NA,13.9,0.07,15
"UMNH",42481,"EAR10875","Peromyscus maniculatus","Experiment",2,0,-22.04,0.06,11,-22,0.03,14,NA,NA,NA,14.42,0.07,15
"UMNH",42481,"EAR10875","Peromyscus maniculatus","Experiment",14,0,-22.96,0.03,11,NA,NA,NA,12.2,0.07,11,NA,NA,NA
"UMNH",42482,"EAR10876","Peromyscus maniculatus","Experiment",0,0,-18.24,0.06,11,-18,0.03,14,11.93,0.11,11,11.81,0.07,15
"UMNH",42482,"EAR10876","Peromyscus maniculatus","Experiment",1,0,-17.04,0.06,11,-18.05,0.03,14,NA,NA,NA,12.12,0.07,15
"UMNH",42482,"EAR10876","Peromyscus maniculatus","Experiment",2,0,-18.77,0.06,11,-19.19,0.03,14,NA,NA,NA,11.07,0.07,15
"UMNH",42482,"EAR10876","Peromyscus maniculatus","Experiment",14,0,-17.57,0.03,11,NA,NA,NA,12.69,0.07,11,NA,NA,NA
"UMNH",42483,"EAR10877","Peromyscus maniculatus","Experiment",0,0,-19.44,0.06,11,-19.24,0.03,14,14.23,0.11,11,14.31,0.07,15
"UMNH",42483,"EAR10877","Peromyscus maniculatus","Experiment",1,0,-18.45,0.06,11,-18.59,0.03,14,NA,NA,NA,14.23,0.07,15
"UMNH",42483,"EAR10877","Peromyscus maniculatus","Experiment",2,0,-18.81,0.06,11,-18.69,0.03,14,NA,NA,NA,14.16,0.07,15
"UMNH",42483,"EAR10877","Peromyscus maniculatus","Experiment",14,0,-19.66,0.03,11,NA,NA,NA,14.08,0.07,11,NA,NA,NA
