Museum,Catalog_Number,Collector_Number,Latitude,Longitude,Species
UMNH,34032,RJR2651,38.96217,-117.273,Perognathus mollipilosus
UMNH,34275,EAR7890,39.40004,-117.039,Perognathus mollipilosus
UMNH,34276,EAR7891,39.40004,-117.039,Perognathus mollipilosus
UMNH,34277,EAR7957,39.40004,-117.039,Perognathus mollipilosus
UMNH,34278,EAR7958,39.40004,-117.039,Perognathus mollipilosus
UMNH,34355,RJR2702,39.37684,-117.006,Perognathus mollipilosus
UMNH,34357,RJR2704,39.37684,-117.006,Perognathus mollipilosus
UMNH,34359,RJR2763,39.37665,-117.01,Perognathus mollipilosus
UMNH,34360,RJR2778,39.37684,-117.006,Perognathus mollipilosus
UMNH,34361,RJR2779,39.37684,-117.006,Perognathus mollipilosus
UMNH,34362,RJR2784,39.37731,-117.009,Perognathus mollipilosus
UMNH,35360,EAR8344,41.67319,-118.598,Microtus longicaudus
UMNH,35417,RJR2933,41.59412,-118.422,Dipodomys merriami
UMNH,35418,RJR2934,41.59412,-118.422,Dipodomys merriami
UMNH,35419,RJR2935,41.59412,-118.422,Dipodomys merriami
UMNH,35420,RJR2959,41.59459,-118.427,Dipodomys merriami
UMNH,35431,RJR2968,41.59412,-118.422,Dipodomys ordii
UMNH,35432,RJR2969,41.59412,-118.422,Dipodomys ordii
UMNH,35433,RJR2995,41.59348,-118.425,Dipodomys ordii
UMNH,35434,RJR2996,41.59348,-118.425,Dipodomys ordii
UMNH,35437,RJR2966,41.59412,-118.422,Onychomys leucogaster
UMNH,35438,RJR3001,41.59348,-118.425,Onychomys leucogaster
UMNH,35644,EAR8406,41.71322,-118.768,Reithrodontomys megalotis
UMNH,35645,EAR8407,41.71322,-118.768,Reithrodontomys megalotis
UMNH,35723,EAR8432,41.6692,-118.69,Microtus longicaudus
UMNH,35724,EAR8433,41.6692,-118.69,Microtus longicaudus
UMNH,35725,EAR8444,41.6692,-118.69,Microtus longicaudus
UMNH,36542,RJR3200,40.59728,-115.379,Peromyscus maniculatus
UMNH,36543,RJR3201,40.59728,-115.379,Peromyscus maniculatus
UMNH,36544,RJR3207,40.59728,-115.379,Peromyscus maniculatus
UMNH,36546,RJR3209,40.59728,-115.379,Peromyscus maniculatus
UMNH,36547,RJR3211,40.62915,-115.367,Peromyscus maniculatus
UMNH,36548,RJR3220,40.59728,-115.379,Peromyscus maniculatus
UMNH,42480,EAR10874,39.9045,-113.37,Peromyscus maniculatus
UMNH,42481,EAR10875,39.9045,-113.37,Peromyscus maniculatus
UMNH,42482,EAR10876,39.9045,-113.37,Peromyscus maniculatus
UMNH,42483,EAR10877,39.88778,-113.413,Peromyscus maniculatus
UMNH,42484,EAR10878,39.88778,-113.413,Peromyscus maniculatus
UMNH,42485,EAR10879,39.88778,-113.413,Peromyscus maniculatus
UMNH,42486,EAR10880,39.88778,-113.413,Peromyscus maniculatus
UMNH,42487,EAR10881,39.88778,-113.413,Peromyscus maniculatus
UMNH,42488,EAR10882,39.88778,-113.413,Peromyscus maniculatus
UMNH,42489,EAR10883,39.88778,-113.413,Peromyscus maniculatus
